TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"1126798","Cardfight Vanguard","BT04: Eclipse of Illusionary Shadows","Diamond Ace","","BT04/014EN","RR","Near Mint","9.60","","12.9900","12.9900","0","0","10.7400",""
"4170114","Pokemon","Hidden Fates: Shiny Vault","Kirlia","","SV35/SV94","Shiny Holo Rare","Near Mint Holofoil","5.88","7.98","6.1300","6.1300","3","0","9.0000",""
"4170104","Pokemon","Hidden Fates: Shiny Vault","Ralts","","SV34/SV94","Shiny Holo Rare","Near Mint Holofoil","6.49","6.48","6.5800","5.4900","13","0","9.0000",""
"8927912","Riftbound League of Legends Trading Card Game","Origins","Yasuo - Unforgiven (Overnumbered)","","305/298","Showcase","Near Mint Foil","45.18","","49.6300","49.6300","1","0","52.8400",""
"682467","YuGiOh","2010 Collectors Tins","Cyber Dinosaur","","CT07-EN008","Super Rare","Near Mint Limited","0.26","","1.6800","0.1900","1","0","0.5000",""
"674262","YuGiOh","2010 Collectors Tins","Dragonic Knight","","CT07-EN017","Super Rare","Moderately Played Limited","0.34","","1.7400","0.2500","1","0","0.5000",""
"734307","YuGiOh","2011 Collectors Tins","Beast King Barbaros","","CT08-EN005","Super Rare","Near Mint Limited","0.59","","1.8700","0.3800","0","0","0.6500",""
"734309","YuGiOh","2011 Collectors Tins","Stygian Street Patrol","","CT08-EN007","Super Rare","Near Mint Limited","0.54","","1.6800","0.1900","1","0","0.5400",""
"682489","YuGiOh","2011 Duelist Pack Tin","Frozen Fitzgerald","","DPCT-EN005","Secret Rare","Near Mint Limited","0.31","","1.5900","0.1000","1","0","0.5000",""
"946931","YuGiOh","2012 Collectors Tin","Wind-Up Rabbit","","CT09-EN010","Super Rare","Lightly Played Limited","0.31","","1.5700","0.0800","1","0","0.5000",""
"851142","YuGiOh","2012 Premium Collection Tin","Machina Cannon","","PRC1-EN011","Super Rare","Near Mint 1st Edition","0.37","","1.5200","0.0300","1","0","0.5000",""
"2954249","YuGiOh","2015 Mega-Tins Mega Pack","Artifact Moralltach","","MP15-EN006","Super Rare","Near Mint 1st Edition","1.12","","2.2500","0.7600","1","0","1.1200",""
"2954369","YuGiOh","2015 Mega-Tins Mega Pack","Cairngorgon, Antiluminescent Knight","","MP15-EN030","Super Rare","Near Mint 1st Edition","1.34","","1.9800","0.4900","2","0","1.4600",""
"2955794","YuGiOh","2015 Mega-Tins Mega Pack","Metaphys Horus","","MP15-EN222","Ultra Rare","Near Mint 1st Edition","0.38","","1.6700","0.1800","1","0","0.5000",""
"2954459","YuGiOh","2015 Mega-Tins Mega Pack","Sylvan Princessprout","","MP15-EN048","Super Rare","Near Mint 1st Edition","1.75","29.96","3.2300","1.7400","1","0","1.7500",""
"2954310","YuGiOh","2015 Mega-Tins Mega Pack","Traptrix Dionaea","","MP15-EN018","Rare","Lightly Played 1st Edition","0.40","0.48","1.9400","0.4500","1","0","0.5000",""
"3198194","YuGiOh","2016 Mega-Tins","D/D/D Gust King Alexander","","CT13-EN010","Super Rare","Near Mint Limited","0.34","0.33","1.6400","0.1500","1","0","0.5000",""
"3287493","YuGiOh","2016 Mega-Tins Mega Pack","Buster Blader, the Destruction Swordmaster","","MP16-EN189","Ultra Rare","Near Mint Unlimited","1.60","","3.1400","1.6500","1","0","2.1100",""
"3453212","YuGiOh","2017 Mega-Tins","Elder Entity N'tss","","CT14-EN009","Super Rare","Near Mint Limited","0.31","0.95","1.7000","0.2000","2","0","0.5000",""
"3453217","YuGiOh","2017 Mega-Tins","Proxy Dragon","","CT14-EN003","Ultra Rare","Near Mint Limited","0.16","0.10","1.5000","0.0100","2","0","0.5000",""
"3453717","YuGiOh","2017 Mega-Tins Mega Pack","Drowning Mirror Force","","MP17-EN041","Secret Rare","Near Mint 1st Edition","1.52","1.51","2.2000","0.7100","1","0","1.9500",""
